Fuel_Type,Kilometers_Driven,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,price,Registration_Year,Transmission_Type,Mileage(kmpl),Engine_CC,No_of_Seats,city,Car_Age
1.0,1.8641066268990587e-05,1,29.0,265.0,2018,825000,2018,1.0,21.5,1497,5,0.0,6
4.0,1e-05,2,9.0,76.0,2006,220000,2006,1.0,15.3,1341,5,0.0,18
4.0,1.852469341632396e-05,1,20.0,160.0,2014,428000,2014,0.0,26.68,998,5,0.0,10
1.0,9.090909090909091e-06,1,28.0,249.0,2014,695000,2014,1.0,21.14,1498,5,0.0,10
4.0,2.6496383243687238e-05,2,6.0,50.0,2019,930000,2019,1.0,15.9,1496,5,0.0,5
4.0,5.758046870501526e-05,1,20.0,155.0,2021,455000,2021,1.0,22.05,796,5,0.0,3
1.0,1.0638297872340426e-05,1,9.0,73.0,2017,1195000,2017,1.0,19.67,1582,5,0.0,7
1.0,2.967359050445104e-05,1,29.0,256.0,2021,2175000,2021,0.0,14.6,1956,5,0.0,3
4.0,1.831468288126591e-05,3,20.0,179.0,2014,442000,2014,1.0,22.38,1197,5,0.0,10
1.0,9.090909090909091e-06,1,20.0,179.0,2018,690000,2018,1.0,28.4,1248,5,0.0,6
4.0,1.5625e-05,2,20.0,160.0,2017,500000,2017,1.0,23.1,998,5,0.0,7
1.0,2.4676125848241827e-05,1,1.0,15.0,2016,3395000,2016,0.0,21.76,1995,5,0.0,8
1.0,1e-05,1,20.0,163.0,2015,650000,2015,1.0,26.21,1248,5,0.0,9
4.0,2.264800471078498e-05,2,8.0,66.0,2016,537000,2016,0.0,19.0,1199,5,0.0,8
1.0,1.4285714285714285e-05,1,27.0,240.0,2016,750000,2016,1.0,19.98,1461,7,0.0,8
4.0,1.2658227848101267e-05,1,28.0,248.0,2018,1789999,2018,0.0,15.1,1798,5,0.0,6
4.0,1.4697452931406987e-05,2,29.0,273.0,2017,468000,2018,1.0,23.84,1199,5,0.0,7
4.0,1.6666666666666667e-05,2,20.0,175.0,2014,420000,2014,1.0,18.5,1197,5,0.0,10
4.0,0.0001,1,9.0,90.0,2021,919999,2021,1.0,20.0,998,5,0.0,3
4.0,2.005092936057586e-05,1,8.0,63.0,2013,533000,2013,1.0,16.8,1497,5,0.0,11
4.0,1.1111111111111112e-05,3,31.0,300.0,2013,850000,2013,0.0,17.2,1197,5,0.0,11
