Fuel_Type,Kilometers_Driven,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,price,Registration_Year,Transmission_Type,Mileage(kmpl),Engine_CC,No_of_Seats,city,Car_Age
Petrol,44154,2,Honda,Honda Jazz,2016,537000,2016,Automatic,19.0,1199,5,bangalore,8
Diesel,70000,1,Renault,Renault Lodgy,2016,750000,2016,Manual,19.98,1461,7,bangalore,8
Petrol,79000,1,Skoda,Skoda Octavia,2018,1789999,2018,Automatic,15.1,1798,5,bangalore,6
Petrol,68039,2,Tata,Tata Tiago,2017,468000,2018,Manual,23.84,1199,5,bangalore,7
Petrol,60000,2,Maruti,Maruti Ritz,2014,420000,2014,Manual,18.5,1197,5,bangalore,10
Petrol,10000,1,Hyundai,Hyundai i20,2021,919999,2021,Manual,20.0,998,5,bangalore,3
Petrol,49873,1,Honda,Honda City,2013,533000,2013,Manual,16.8,1497,5,bangalore,11
Petrol,90000,3,Volkswagen,Volkswagen Polo,2013,850000,2013,Automatic,17.2,1197,5,bangalore,11
Diesel,48960,2,Skoda,Skoda Rapid,2017,751000,2017,Manual,21.13,1498,5,bangalore,7
Diesel,70000,2,Hyundai,Hyundai Grand i10,2014,388000,2014,Manual,24.0,1120,5,bangalore,10
Petrol,68000,2,Hyundai,Hyundai i20,2013,490000,2013,Manual,18.5,1197,5,bangalore,11
Diesel,23017,1,Mahindra,Mahindra KUV 100,2016,494000,2016,Manual,25.32,1198,6,bangalore,8
Diesel,83000,2,Hyundai,Hyundai i20,2013,525000,2014,Manual,21.27,1396,5,bangalore,11
Diesel,92000,2,BMW,BMW X3,2016,2890000,2016,Automatic,16.55,1995,5,bangalore,8
Petrol,62139,1,Maruti,Maruti Wagon R,2018,550000,2018,Manual,20.51,998,5,bangalore,6
Lpg,74000,1,Hyundai,Hyundai i10,2013,365000,2013,Manual,19.2,1086,5,bangalore,11
Petrol,26500,2,Renault,Renault KWID,2016,420000,2016,Automatic,24.04,999,5,bangalore,8
Diesel,81716,1,Volvo,Volvo S60,2017,1895000,2017,Automatic,27.03,1969,5,bangalore,7
Diesel,24000,2,Mercedes-Benz,Mercedes-Benz E-Class,2018,5990000,2018,Automatic,17.0,2987,5,bangalore,6
Petrol,10000,1,Mahindra,Mahindra XUV300,2022,1050000,2022,Automatic,17.0,1197,5,bangalore,2
Petrol,18000,1,MG,MG Hector Plus,2021,2075000,2021,Automatic,16.56,1451,6,bangalore,3
Petrol,38197,1,Honda,Honda Brio,2013,394000,2013,Manual,19.4,1198,5,bangalore,11
Petrol,23000,2,Maruti,Maruti Baleno,2017,725000,2017,Automatic,19.56,1197,5,bangalore,7
Petrol,50000,1,Maruti,Maruti Alto K10,2013,240000,2013,Manual,20.92,998,5,bangalore,11
Petrol,10000,1,Renault,Renault Kiger,2022,835000,2022,Automatic,19.03,999,5,bangalore,2
Petrol,19000,1,Hyundai,Hyundai Grand i10,2019,695000,2019,Manual,18.9,1197,5,bangalore,5
Petrol,14000,1,Kia,Kia Seltos,2020,1725000,2020,Automatic,16.5,1353,5,bangalore,4
Petrol,29268,1,Hyundai,Hyundai EON,2014,330000,2014,Manual,21.1,814,5,bangalore,10
Petrol,20000,1,Volkswagen,Volkswagen Vento,2019,990000,2019,Automatic,18.19,1197,5,bangalore,5
Petrol,30000,1,Toyota,Toyota Yaris,2018,750000,2018,Manual,17.1,1496,5,bangalore,6
Petrol,64374,1,Honda,Honda Jazz,2018,755000,2018,Automatic,19.0,1199,5,bangalore,6
Diesel,30000,1,MG,MG Hector,2021,1750000,2021,Manual,17.41,1956,5,bangalore,3
Petrol,7100,1,Hyundai,Hyundai Alcazar,2022,2082999,2022,Automatic,14.2,1999,6,bangalore,2
Petrol,43679,1,Hyundai,Hyundai i10,2010,271000,2010,Manual,19.81,1086,5,bangalore,14
Petrol,40000,1,Hyundai,Hyundai Creta,2018,1280000,2018,Automatic,14.8,1591,5,bangalore,6
Diesel,40562,1,Hyundai,Hyundai i20,2012,436000,2012,Manual,22.54,1396,5,bangalore,12
Petrol,26500,2,Hyundai,Hyundai Creta,2021,1675000,2021,Automatic,19.31,1397,5,bangalore,3
Petrol,20000,1,Hyundai,Hyundai Venue,2019,1250000,2019,Automatic,18.15,998,5,bangalore,5
Diesel,58600,1,Mahindra,Mahindra XUV500,2016,1350000,2016,Automatic,16.0,2179,7,bangalore,8
Petrol,42050,1,Volkswagen,Volkswagen T-Roc,2020,2225000,2020,Automatic,18.4,1498,5,bangalore,4
Petrol,65017,1,Maruti,Maruti Celerio,2015,475000,2016,Automatic,23.1,998,5,bangalore,9
Diesel,80000,2,BMW,BMW 3 Series,2008,600000,2008,Automatic,13.2,1995,5,bangalore,16
Petrol,30000,1,Jeep,Jeep Compass,2021,2450000,2021,Automatic,14.1,1368,5,bangalore,3
Petrol,20000,1,Kia,Kia Seltos,2020,1625000,2020,Automatic,16.5,1353,5,bangalore,4
Diesel,36349,1,Skoda,Skoda Superb,2014,1650000,2014,Automatic,17.2,1968,5,bangalore,10
Petrol,80000,3,Hyundai,Hyundai i10,2009,249000,2009,Manual,20.36,1197,5,bangalore,15
Petrol,83394,2,Renault,Renault Duster,2014,630000,2014,Manual,13.24,1598,5,bangalore,10
Diesel,30000,2,Audi,Audi Q5,2016,2599000,2016,Automatic,14.16,1968,5,bangalore,8
Petrol,52204,1,Maruti,Maruti Alto K10,2017,385000,2017,Manual,24.39,998,5,bangalore,7
Petrol,110000,3,Hyundai,Hyundai i20,2012,300000,2012,Manual,17.0,1197,5,bangalore,12
Diesel,89000,1,Ford,Ford Endeavour,2017,2975000,2017,Automatic,10.91,3198,7,bangalore,7
Petrol,29813,2,Maruti,Maruti Alto 800,2014,276000,2014,Manual,22.05,796,5,bangalore,10
Petrol,30000,1,Ford,Ford Figo,2018,500000,2018,Manual,18.16,1196,5,bangalore,6
Petrol,13345,1,Maruti,Maruti Ignis,2020,730000,2020,Automatic,20.89,1197,5,bangalore,4
Diesel,17100,1,Hyundai,Hyundai Alcazar,2022,2245000,2022,Automatic,18.1,1498,7,bangalore,2
Petrol,75000,1,Hyundai,Hyundai Grand i10,2014,399000,2014,Manual,18.9,1197,5,bangalore,10
Petrol,75523,2,Hyundai,Hyundai i10,2011,312000,2011,Manual,20.36,1197,5,bangalore,13
Diesel,47000,1,Mahindra,Mahindra XUV500,2015,1275000,2015,Manual,16.0,2179,7,bangalore,9
Diesel,36500,1,Tata,Tata Harrier,2022,1989999,2022,Manual,16.35,1956,5,bangalore,2
Petrol,28253,1,Renault,Renault Triber,2020,719000,2020,Manual,20.0,999,7,bangalore,4
Diesel,50000,1,Hyundai,Hyundai Creta,2016,1260000,2016,Manual,19.67,1582,5,bangalore,8
Petrol,90000,2,Hyundai,Hyundai i10,2010,300000,2010,Manual,20.36,1197,5,bangalore,14
Diesel,70000,2,BMW,BMW X5,2016,3981000,2016,Automatic,15.97,2993,5,bangalore,8
Petrol,52571,1,Hyundai,Hyundai i20,2016,627000,2016,Manual,18.6,1197,5,bangalore,8
Diesel,70000,2,BMW,BMW 3 Series,2010,1300000,2010,Automatic,16.07,1995,5,bangalore,14
Petrol,61993,1,Honda,Honda City,2015,672000,2015,Manual,17.4,1497,5,bangalore,9
Diesel,57000,1,Hyundai,Hyundai Tucson,2017,1825000,2017,Automatic,16.38,1995,5,bangalore,7
Diesel,80000,2,Toyota,Toyota Fortuner,2021,3500000,2021,Manual,14.24,2755,7,bangalore,3
Petrol,36359,1,Hyundai,Hyundai i20,2013,440000,2013,Manual,18.5,1197,5,bangalore,11
Diesel,70000,2,Tata,Tata Harrier,2019,1460000,2019,Manual,17.0,1956,5,bangalore,5
Petrol,7500,1,MG,MG Hector,2022,2041000,2022,Automatic,19.31,1451,5,bangalore,2
Petrol,30301,1,Hyundai,Hyundai Verna,2017,1033000,2017,Automatic,17.0,1591,5,bangalore,7
Petrol,66000,1,Hyundai,Hyundai i10,2010,275000,2010,Manual,20.36,1197,5,bangalore,14
Petrol,56010,1,Hyundai,Hyundai i20,2017,676000,2017,Manual,18.6,1197,5,bangalore,7
Diesel,47000,1,Mercedes-Benz,Mercedes-Benz GLC,2017,4290000,2017,Automatic,17.9,2143,5,bangalore,7
Diesel,60000,2,Nissan,Nissan Terrano,2014,650000,2014,Manual,19.01,1461,5,bangalore,10
Diesel,83829,1,Maruti,Maruti Swift,2014,444000,2014,Manual,25.2,1248,5,bangalore,10
Petrol,10000,1,Renault,Renault KWID,2020,509999,2020,Automatic,22.0,999,5,bangalore,4
Diesel,35000,2,Renault,Renault Duster,2016,925000,2016,Automatic,19.6,1461,5,bangalore,8
Petrol,51116,2,Honda,Honda City,2019,1024000,2020,Automatic,18.0,1497,5,bangalore,5
Diesel,80000,3,Skoda,Skoda Rapid,2016,500000,2016,Manual,21.14,1498,5,bangalore,8
Petrol,40000,2,Volkswagen,Volkswagen Polo,2017,994999,2017,Automatic,17.21,1197,5,bangalore,7
Petrol,85565,2,Honda,Honda CR-V,2012,935000,2012,Automatic,11.1,2354,5,bangalore,12
Petrol,36916,1,Ford,Ford Ecosport,2018,834000,2018,Manual,17.0,1497,5,bangalore,6
Diesel,90000,1,Volkswagen,Volkswagen Polo,2015,560000,2015,Manual,20.14,1498,5,bangalore,9
Petrol,112795,1,Maruti,Maruti Swift,2012,454000,2012,Manual,22.38,1197,5,bangalore,12
Petrol,11000,1,Mercedes-Benz,Mercedes-Benz A-Class Limousine,2021,3690000,2021,Automatic,19.31,1332,5,bangalore,3
Petrol,120000,2,Toyota,Toyota Innova,2014,1100000,2014,Manual,11.4,1998,7,bangalore,10
Petrol,36685,2,Honda,Honda Brio,2016,462000,2016,Manual,19.4,1198,5,bangalore,8
Diesel,120000,2,Hyundai,Hyundai Santa Fe,2012,900000,2012,Automatic,11.72,2199,7,bangalore,12
Petrol,4000,1,BMW,BMW 6 Series,2022,7900000,2022,Automatic,13.32,1998,4,bangalore,2
Petrol,32184,2,Maruti,Maruti Baleno,2019,843000,2019,Automatic,21.4,1197,5,bangalore,5
Petrol,32279,1,Maruti,Maruti Baleno RS,2018,799000,2019,Manual,21.1,998,5,bangalore,6
Petrol,59698,1,Hyundai,Hyundai i20,2015,576000,2015,Manual,18.6,1197,5,bangalore,9
Diesel,46071,1,Renault,Renault Captur,2018,949000,2018,Manual,20.37,1461,5,bangalore,6
Diesel,90000,1,Maruti,Maruti Vitara Brezza,2017,795000,2017,Manual,24.3,1248,5,bangalore,7
Petrol,9554,1,Hyundai,Hyundai Venue,2019,1085000,2019,Manual,18.27,998,5,bangalore,5
Petrol,14000,1,Jeep,Jeep Compass,2022,2590000,2022,Automatic,14.1,1368,5,bangalore,2
Diesel,74499,2,Renault,Renault Duster,2013,516000,2013,Manual,20.45,1461,5,bangalore,11
Petrol,56211,2,Ford,Ford Ecosport,2017,777000,2017,Automatic,14.8,1497,5,bangalore,7
Petrol,9001,1,Honda,Honda Jazz,2019,753000,2019,Manual,18.2,1199,5,bangalore,5
Diesel,65457,2,Mahindra,Mahindra XUV500,2017,1226000,2017,Automatic,16.0,1997,7,bangalore,7
Petrol,23682,1,Honda,Honda Jazz,2017,725000,2017,Manual,18.7,1199,5,bangalore,7
Diesel,50000,1,Hyundai,Hyundai Verna,2020,1150000,2020,Manual,22.0,1582,5,bangalore,4
Diesel,134557,2,Maruti,Maruti Swift,2015,629000,2015,Manual,25.2,1248,5,bangalore,9
Petrol,96567,2,Maruti,Maruti Swift Dzire,2013,447000,2013,Manual,22.41,1197,5,bangalore,11
Diesel,83007,2,Maruti,Maruti Ertiga,2014,786000,2015,Manual,20.77,1248,7,bangalore,10
Petrol,34000,1,Honda,Honda Jazz,2018,745000,2018,Manual,18.7,1199,5,bangalore,6
Petrol,81634,1,Hyundai,Hyundai Grand i10,2014,490000,2014,Automatic,18.9,1197,5,bangalore,10
Petrol,57284,2,Honda,Honda City,2017,942000,2017,Automatic,18.0,1497,5,bangalore,7
Petrol,70000,2,Ford,Ford Ecosport,2016,675000,2016,Automatic,15.63,1499,5,bangalore,8
Petrol,70000,2,Honda,Honda Brio,2013,330000,2013,Manual,19.4,1198,5,bangalore,11
Petrol,46429,2,Toyota,Toyota Yaris,2018,875000,2018,Automatic,17.8,1496,5,bangalore,6
Petrol,17624,1,Maruti,Maruti Baleno,2017,869000,2018,Manual,21.4,1197,5,bangalore,7
Diesel,100000,2,Volkswagen,Volkswagen Vento,2012,425000,2012,Manual,20.54,1598,5,bangalore,12
Petrol,30000,1,Honda,Honda City,2019,1070000,2019,Manual,17.4,1497,5,bangalore,5
Petrol,49690,2,Ford,Ford Ecosport,2018,1025000,2018,Manual,15.9,1496,5,bangalore,6
Diesel,110000,1,Mahindra,Mahindra XUV500,2016,1000000,2016,Manual,16.0,2179,7,bangalore,8
Petrol,50000,1,Fiat,Fiat Linea,2009,375000,2009,Manual,16.0,1368,5,bangalore,15
Petrol,55702,1,Ford,Ford Ecosport,2018,844000,2018,Automatic,14.8,1497,5,bangalore,6
Diesel,45046,1,Hyundai,Hyundai i20 Active,2016,764000,2016,Manual,21.19,1396,5,bangalore,8
Petrol,53000,2,Maruti,Maruti Ritz,2014,420000,2014,Manual,18.5,1197,5,bangalore,10
Diesel,94695,1,Maruti,Maruti Baleno,2016,684000,2016,Manual,27.39,1248,5,bangalore,8
Petrol,22162,1,Maruti,Maruti Baleno,2019,802999,2019,Manual,21.4,1197,5,bangalore,5
Petrol,70000,2,Hyundai,Hyundai Santro Xing,2010,320000,2010,Manual,17.92,1086,5,bangalore,14
Diesel,115331,1,Honda,Honda City,2017,803999,2018,Manual,26.0,1498,5,bangalore,7
Diesel,70000,2,Mercedes-Benz,Mercedes-Benz E-Class,2013,1400000,2013,Automatic,10.0,2148,5,bangalore,11
Petrol,42233,2,Maruti,Maruti Swift,2016,548000,2016,Manual,22.38,1197,5,bangalore,8
Petrol,20941,1,Hyundai,Hyundai Grand i10,2019,619000,2019,Manual,18.9,1197,5,bangalore,5
Diesel,50000,2,Maruti,Maruti Vitara Brezza,2018,1000000,2018,Manual,24.3,1248,5,bangalore,6
Petrol,46602,1,Honda,Honda WR-V,2018,865000,2018,Manual,17.5,1199,5,bangalore,6
Diesel,50000,2,Mahindra Ssangyong,Mahindra Ssangyong Rexton,2014,1000000,2014,Automatic,11.18,2696,7,bangalore,10
Diesel,104000,2,Maruti,Maruti Swift,2014,535000,2014,Manual,25.2,1248,5,bangalore,10
Diesel,90000,1,Ford,Ford Ecosport,2018,975000,2018,Manual,23.0,1498,5,bangalore,6
Petrol,50035,1,Maruti,Maruti Baleno,2017,699000,2017,Manual,21.4,1197,5,bangalore,7
Petrol,80000,1,Tata,Tata Nexon,2021,1150000,2021,Manual,17.57,1199,5,bangalore,3
Petrol,90000,2,Hyundai,Hyundai i20,2015,625000,2015,Manual,18.6,1197,5,bangalore,9
Diesel,90000,4,Mercedes-Benz,Mercedes-Benz E-Class,2011,1000000,2011,Automatic,14.21,2143,5,bangalore,13
Diesel,120000,1,Toyota,Toyota Corolla Altis,2011,600000,2011,Manual,21.43,1364,5,bangalore,13
Petrol,25170,1,Maruti,Maruti Swift Dzire,2015,675000,2015,Manual,22.41,1197,5,bangalore,9
Petrol,25022,1,Maruti,Maruti Ciaz,2021,893000,2021,Manual,20.65,1462,5,bangalore,3
Diesel,100000,2,Maruti,Maruti Swift,2012,420000,2012,Manual,22.9,1248,5,bangalore,12
Petrol,26367,1,Maruti,Maruti Ciaz,2020,941000,2020,Manual,20.65,1462,5,bangalore,4
Petrol,76567,2,Hyundai,Hyundai Elantra,2015,630000,2015,Automatic,14.5,1797,5,bangalore,9
Diesel,120000,2,Toyota,Toyota Innova,2013,1275000,2013,Manual,12.99,2494,7,bangalore,11
Petrol,36459,2,Hyundai,Hyundai Grand i10,2015,525000,2015,Automatic,18.9,1197,5,bangalore,9
Diesel,93725,1,Maruti,Maruti SX4 S Cross,2016,750000,2016,Manual,23.65,1248,5,bangalore,8
Petrol,115599,2,Maruti,Maruti Ciaz,2016,632000,2016,Automatic,19.12,1373,5,bangalore,8
Petrol,43469,1,Maruti,Maruti Swift Dzire,2015,645000,2016,Manual,22.41,1197,5,bangalore,9
Petrol,70000,4,Ford,Ford Ikon,2005,500000,2005,Manual,13.8,1299,5,bangalore,19
Diesel,77000,2,BMW,BMW X5,2019,6795000,2019,Automatic,13.38,2993,5,bangalore,5
Diesel,100000,1,Maruti,Maruti Vitara Brezza,2018,850000,2018,Manual,24.3,1248,5,bangalore,6
Petrol,72000,1,Mitsubishi,Mitsubishi Cedia,2008,299000,2008,Manual,14.7,1999,5,bangalore,16
Diesel,77000,1,Jaguar,Jaguar XF,2013,2095000,2013,Automatic,16.36,2179,5,bangalore,11
Diesel,87101,1,Audi,Audi Q7,2013,2800000,2013,Automatic,12.07,2967,7,bangalore,11
Petrol,40771,2,Volkswagen,Volkswagen Polo,2021,999000,2021,Manual,18.24,999,5,bangalore,3
Petrol,28000,1,Honda,Honda Jazz,2018,825000,2018,Manual,18.7,1199,5,bangalore,6
Petrol,40000,3,Maruti,Maruti Wagon R,2008,250000,2008,Manual,18.9,1061,5,bangalore,16
Petrol,26000,1,Hyundai,Hyundai Venue,2020,1295000,2020,Automatic,18.15,998,5,bangalore,4
Petrol,76032,1,Maruti,Maruti Wagon R,2012,329000,2012,Manual,18.9,998,5,bangalore,12
Petrol,113780,1,Maruti,Maruti Ciaz,2018,666000,2018,Manual,21.56,1462,5,bangalore,6
Diesel,24000,1,Audi,Audi A3,2019,2290000,2020,Automatic,20.38,1968,5,bangalore,5
Diesel,65812,2,Hyundai,Hyundai Venue,2020,1026000,2020,Manual,23.7,1493,5,bangalore,4
Petrol,10000,1,Skoda,Skoda Kushaq,2022,1700000,2022,Automatic,17.2,999,5,bangalore,2
Petrol,39959,1,Maruti,Maruti Baleno,2016,681000,2016,Manual,21.4,1197,5,bangalore,8
Petrol,10000,1,Hyundai,Hyundai Alcazar,2022,1689999,2022,Automatic,14.2,1999,7,bangalore,2
Petrol,65484,3,Maruti,Maruti Alto K10,2016,318000,2017,Manual,24.39,998,5,bangalore,8
Petrol,49174,1,Maruti,Maruti Baleno,2017,688000,2017,Manual,21.4,1197,5,bangalore,7
Petrol,20000,1,Volkswagen,Volkswagen Taigun,2022,1300000,2022,Manual,20.08,999,5,bangalore,2
Petrol,50000,1,Hyundai,Hyundai i10,2009,265000,2009,Manual,20.36,1197,5,bangalore,15
Petrol,40000,2,Maruti,Maruti Swift Dzire,2018,645000,2018,Automatic,22.0,1197,5,bangalore,6
Petrol,30000,1,Hyundai,Hyundai Alcazar,2022,2000000,2022,Automatic,14.2,1999,7,bangalore,2
Petrol,50000,3,BMW,BMW 3 Series,2007,900000,2007,Automatic,10.9,2497,5,bangalore,17
Petrol,80000,1,Maruti,Maruti Swift,2020,620000,2020,Manual,21.21,1197,5,bangalore,4
Petrol,20000,1,MG,MG Astor,2022,1470000,2022,Manual,15.43,1498,5,bangalore,2
Cng,70000,1,Hyundai,Hyundai Accent,2010,220000,2010,Manual,13.2,1495,5,bangalore,14
Diesel,90000,1,Audi,Audi A4,2014,1475000,2014,Automatic,17.11,1968,5,bangalore,10
Petrol,40000,1,Renault,Renault KWID,2020,415000,2020,Manual,21.74,999,5,bangalore,4
Petrol,63797,1,Honda,Honda Jazz,2016,610000,2016,Manual,18.7,1199,5,bangalore,8
Petrol,60216,2,Hyundai,Hyundai Grand i10,2018,560000,2018,Manual,18.9,1197,5,bangalore,6
