ft,bt,km,ownerNo,oem,modelYear,Insurance Validity,Transmission,Mileage,Engine,Torque,Color,No of Cylinder,Values per Cylinder,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Seating Capacity,Steering Type,Tyre Type,No Door Numbers,city,Max Power
Petrol,SUV,24000,1,Hyundai,2021,Comprehensive,Manual,19.305221281860927,1497.0,143.0,Black,4.0,4.0,4300.0,1790.0,1635.0,2610.0,1305.0,6 Speed,5,Power,Tubeless Radial,5,delhi,113.0
Diesel,SUV,80000,2,Mahindra,2015,Comprehensive,Manual,18.49,1493.0,240.0,Silver,3.0,2.0,3995.0,1835.0,1826.0,2680.0,1725.0,5 Speed,7,Power,Tubeless Radial,5,bangalore,100.0
Diesel,MUV,69000,1,Toyota,2018,Comprehensive,Automatic,11.36,2755.0,360.0,Brown,4.0,4.0,4735.0,1830.0,1795.0,2750.0,1830.0,6 Speed,7,Power,Tubeless Radial,5,delhi,171.0
Petrol,Sedan,40000,1,Maruti,2022,Third Party,Manual,22.41,1197.0,113.0,Others,4.0,4.0,3995.0,1735.0,1515.0,2450.0,880.0,5 Speed,5,Electric,Tubeless Radial,4,hyderabad,88.0
Diesel,SUV,50000,2,Maruti,2018,Third Party,Manual,24.3,1248.0,200.0,Red,4.0,4.0,3995.0,1790.0,1640.0,2500.0,1210.0,5 Speed,5,Power,Tubeless Radial,5,bangalore,88.0
Petrol,SUV,72563,1,Hyundai,2019,Third Party,Automatic,18.15,998.0,171.0,White,3.0,4.0,3995.0,1770.0,1605.0,2500.0,1440.0,7 Speed,5,Power,Radial,5,hyderabad,118.0
Petrol,Hatchback,100000,3,Hyundai,2006,Third Party,Manual,17.0,1086.0,177.72343242267422,Others,4.0,4.0,4072.5542822677926,1718.2144581221337,1558.5103739445115,2518.403850840848,1070.0,5 Speed,5,Power,Tubeless Radial,5,bangalore,104.8177879407871
Petrol,Hatchback,54024,1,Maruti,2017,Comprehensive,Manual,21.4,1197.0,115.0,Grey,4.0,4.0,3995.0,1745.0,1510.0,2520.0,870.0,5 Speed,5,Power,Tubeless Radial,5,chennai,83.0
Diesel,SUV,44416,1,Renault,2019,Third Party,Manual,19.6,1461.0,245.0,Blue,4.0,4.0,4315.0,1822.0,1695.0,2673.0,1280.0,6 Speed,5,Power,Tubeless Radial,5,hyderabad,108.0
Petrol,Hatchback,10000,1,Maruti,2020,Third Party,Manual,21.01,1197.0,113.0,Others,4.0,4.0,3995.0,1745.0,1510.0,2520.0,865.0,5 Speed,5,Electric,Tubeless Radial,5,bangalore,81.0
Diesel,SUV,92000,2,BMW,2016,Comprehensive,Automatic,16.55,1995.0,400.0,White,4.0,4.0,4708.0,2138.0,1676.0,2864.0,1865.0,8 Speed,5,Electric,Tubeless Radial,5,bangalore,187.0
Petrol,SUV,10000,2,Nissan,2021,Third Party,Manual,18.75,999.0,96.0,Others,3.0,4.0,3994.0,1758.0,1572.0,2500.0,939.0,5 Speed,5,Electronic,Tubeless Radial,5,bangalore,71.0
Petrol,Sedan,50000,1,Fiat,2009,Third Party,Manual,16.0,1368.0,115.0,Gray,4.0,4.0,4.0,1.0,1.0,2518.403850840848,1.0,5 Speed,5,Power,Tubeless Radial,4,bangalore,90.0
Diesel,SUV,29041,1,Hyundai,2022,Third Party,Manual,19.305221281860927,1493.0,250.0,Red,4.0,4.0,4300.0,1790.0,1635.0,2610.0,1565.0,6 Speed,5,Power,Tubeless Radial,5,chennai,113.0
Petrol,Hatchback,41200,1,Maruti,2018,Third Party,Automatic,20.89,1197.0,113.0,White,4.0,4.0,3700.0,1690.0,1595.0,2435.0,855.0,5 Speed,5,Electrical,Tubeless Radial,5,delhi,81.0
Diesel,Sedan,80000,1,Audi,2013,Third Party,Automatic,17.68,1968.0,380.0,Others,4.0,4.0,4915.0,2086.0,1455.0,2912.0,1660.0,8 Speed,5,Power,Tubeless Radial,4,bangalore,174.0
Petrol,SUV,11323,1,Maruti,2021,Third Party,Manual,18.55,1462.0,138.0,White,4.0,4.0,4300.0,1785.0,1595.0,2600.0,1130.0,5 Speed,5,Power,Tubeless Radial,5,chennai,103.0
Petrol,Hatchback,60000,2,Maruti,2008,Third Party,Manual,19.7,796.0,62.0,Others,3.0,4.0,3495.0,1475.0,1460.0,2360.0,705.0,5 Speed,5,Manual,Tubeless Radial,5,kolkata,46.0
Petrol,Sedan,65000,1,Honda,2015,Comprehensive,Automatic,18.0,1497.0,145.0,Brown,4.0,4.0,4440.0,1695.0,1495.0,2600.0,1085.0,5 Speed CVT,5,Power,Tubeless Radial,4,delhi,117.0
Diesel,SUV,60000,1,Mahindra,2013,Third Party,Manual,15.1,2179.0,330.0,Others,4.0,4.0,4585.0,1890.0,1785.0,2700.0,1940.0,6 Speed,7,Power,Tubeless Radial,5,hyderabad,140.0
Petrol,Sedan,87000,1,Toyota,2011,Comprehensive,Manual,17.6,1496.0,132.0,Red,4.0,4.0,4072.5542822677926,1718.2144581221337,1558.5103739445115,2518.403850840848,920.0,5 Speed,5,Power,Tubeless Radial,4,bangalore,88.0
Petrol,SUV,55702,1,Ford,2018,Comprehensive,Automatic,14.8,1497.0,150.0,Silver,3.0,4.0,3998.0,1765.0,1647.0,2519.0,1320.0,6 Speed,5,Power,Tubeless Radial,4,bangalore,121.0
Petrol,Hatchback,76730,1,Hyundai,2012,Comprehensive,Manual,17.92,1086.0,96.0,Red,3.0,4.0,3565.0,1525.0,1590.0,2380.0,805.0,5 Speed,5,Power,Tubeless Radial,5,chennai,62.0
Diesel,SUV,56123,1,Maruti,2017,Comprehensive,Manual,24.3,1248.0,200.0,Red,4.0,4.0,3995.0,1790.0,1640.0,2500.0,1200.0,5 Speed,5,Power,Tubeless Radial,5,jaipur,88.0
Petrol,Sedan,40000,1,Hyundai,2018,Third Party,Manual,17.0,1591.0,151.0,Red,4.0,4.0,4440.0,1729.0,1475.0,2600.0,1228.0,6 Speed,5,Power,Tubeless,4,kolkata,121.0
Petrol,Hatchback,50000,1,Datsun,2020,Third Party,Manual,21.7,999.0,91.0,Others,3.0,4.0,3435.0,1574.0,1546.0,2348.0,750.0,5 Speed,5,Power,Tubeless,5,bangalore,67.0
Petrol,SUV,20000,1,Kia,2019,Third Party,Automatic,16.5,1353.0,242.0,Gray,4.0,4.0,4315.0,1800.0,1645.0,2610.0,1535.0,7 Speed DCT,5,Electric,Tubeless Radial,5,bangalore,138.0
Petrol,SUV,17367,1,Hyundai,2019,Comprehensive,Manual,15.8,1591.0,151.0,White,4.0,4.0,4270.0,1780.0,1665.0,2590.0,1260.0,6 Speed,5,Power,Tubeless,5,delhi,121.0
Petrol,Sedan,60000,2,Volkswagen,2011,Third Party,Manual,15.04,1598.0,153.0,Others,4.0,4.0,4384.0,1699.0,1466.0,2552.0,1121.0,5 Speed,5,Power,Tubeless Radial,4,hyderabad,103.0
Petrol,Hatchback,70879,1,Maruti,2016,Zero Dep,Manual,22.05,796.0,69.0,Silver,3.0,4.0,3445.0,1515.0,1475.0,2360.0,755.0,5 Speed,5,Power,Tubeless,5,delhi,47.0
Petrol,MUV,90000,1,Maruti,2018,Third Party,Manual,17.5,1373.0,130.0,Others,4.0,4.0,4296.0,1695.0,1685.0,2740.0,1175.0,5 Speed,7,Power,Tubeless Radial,5,kolkata,91.0
Petrol,Hatchback,35000,1,Hyundai,2019,Comprehensive,Manual,18.9,1197.0,113.0,White,4.0,4.0,3765.0,1660.0,1520.0,2425.0,1120.0,5 Speed,5,Power,Tubeless,5,bangalore,81.0
Diesel,SUV,72000,1,Hyundai,2018,Comprehensive,Manual,22.1,1396.0,219.0,White,4.0,4.0,4270.0,1780.0,1665.0,2590.0,1240.0,6 Speed,5,Power,Tubeless,5,delhi,88.0
Petrol,Hatchback,49241,2,Hyundai,2018,Third Party,Manual,18.6,1197.0,114.0,White,4.0,4.0,3985.0,1734.0,1505.0,2570.0,1066.0,5 Speed,5,Power,Tubeless,5,hyderabad,81.0
Petrol,Hatchback,31000,1,Hyundai,2010,Third Party,Manual,17.92,1086.0,96.0,Red,3.0,4.0,3565.0,1525.0,1590.0,2380.0,825.0,5 Speed,5,Power,Tubeless Radial,5,hyderabad,62.0
Diesel,Sedan,150000,2,Hyundai,2012,Third Party,Manual,22.32,1582.0,259.0,Others,4.0,4.0,4370.0,1700.0,1475.0,2570.0,1260.0,6 Speed,5,Power,Tubeless Radial,4,hyderabad,126.0
Petrol,Hatchback,87189,1,Hyundai,2019,Third Party,Manual,18.9,1197.0,113.0,Silver,4.0,4.0,3765.0,1660.0,1520.0,2425.0,1120.0,5 Speed,5,Power,Tubeless,5,hyderabad,81.0
Diesel,SUV,74320,1,Maruti,2017,Third Party,Manual,24.3,1248.0,200.0,Granite Grey,4.0,4.0,3995.0,1790.0,1640.0,2500.0,1175.0,5 Speed,5,Power,Tubeless Radial,5,hyderabad,88.0
Petrol,Sedan,30000,1,Hyundai,2018,Third Party,Automatic,14.62,1999.0,192.0,Others,4.0,4.0,4570.0,1800.0,1465.0,2700.0,1300.0,6 Speed,5,Power,Tubeless Radial,4,kolkata,149.0
Petrol,Sedan,60000,1,Hyundai,2014,Third Party,Manual,19.1,1197.0,114.0,Others,4.0,4.0,3995.0,1660.0,1520.0,2425.0,1100.0,5 Speed,5,Power,Tubeless,4,jaipur,82.0
Diesel,SUV,36000,1,Audi,2018,Comprehensive,Automatic,14.75,2967.0,600.0,Black,4.0,4.0,5052.0,2212.0,1740.0,2994.0,2330.0,8 Speed,7,Power,Tubeless Radial,5,delhi,245.0
Petrol,Sedan,80000,1,Toyota,2015,Third Party,Automatic,19.16,2494.0,213.0,Others,4.0,4.0,4850.0,1825.0,1480.0,2775.0,1635.0,6 Speed,5,Power,Tubeless Radial,4,delhi,157.0
Diesel,Hatchback,120000,3,Hyundai,2013,Third Party,Manual,21.27,1396.0,219.0,Others,4.0,4.0,3995.0,1710.0,1505.0,2525.0,1120.0,6 Speed,5,Power,Tubeless Radial,5,hyderabad,88.0
Petrol,Sedan,80000,3,Hyundai,2014,Third Party,Manual,16.3,1797.0,177.0,Others,4.0,4.0,4530.0,1775.0,1470.0,2700.0,1329.0,6 Speed,5,Power,Tubeless Radial,4,kolkata,147.0
Diesel,Sedan,100000,1,Honda,2015,Third Party,Manual,26.0,1498.0,200.0,Others,4.0,4.0,4440.0,1695.0,1495.0,2600.0,1150.0,6 Speed,5,Power,Tubeless Radial,4,hyderabad,98.0
Petrol,Hatchback,70000,2,Hyundai,2010,Third Party,Manual,19.305221281860927,1086.0,96.0,Others,4.0,3.0,3565.0,1525.0,1590.0,2380.0,854.0,5 Speed,5,Power,Tubeless Radial,5,kolkata,62.0
Cng,Sedan,13145,1,Tata,2022,Comprehensive,Manual,26.49,1199.0,95.0,Red,3.0,4.0,3993.0,1677.0,1532.0,2450.0,1030.0,5 Speed,5,Electric,Tubeless Radial,4,kolkata,72.0
Petrol,Hatchback,56740,1,Maruti,2017,Zero Dep,Manual,21.4,1197.0,115.0,White,4.0,4.0,3995.0,1745.0,1510.0,2520.0,880.0,5 Speed,5,Power,Tubeless Radial,5,delhi,83.0
Petrol,Sedan,61000,1,Renault,2013,Comprehensive,Manual,16.95,1498.0,134.0,Silver,4.0,4.0,4425.0,1695.0,1505.0,2600.0,1005.0,5 Speed,5,Power,Tubeless Radial,4,kolkata,97.0
Petrol,Sedan,20000,1,BMW,2020,Comprehensive,Automatic,16.13,1998.0,400.0,White,4.0,4.0,4824.0,1811.0,1429.0,2810.0,1530.0,8-Speed Steptronic Sport Automatic Transmission,5,Power,Tubeless Radial,4,delhi,254.0
Petrol,SUV,20000,1,Hyundai,2022,Third Party,Automatic,14.2,1999.0,191.0,Gray,4.0,4.0,4500.0,1790.0,1675.0,2760.0,1730.0,6 Speed,6,Power,Tubeless Radial,5,bangalore,156.0
Diesel,Hatchback,100000,2,Fiat,2015,Third Party,Manual,20.5,1248.0,209.0,White,4.0,4.0,3989.0,1706.0,1542.0,2510.0,1255.0,5 Speed,5,Power,Tubeless Radial,5,hyderabad,91.0
Petrol,SUV,10000,1,Mahindra,2023,Third Party,Manual,19.305221281860927,1997.0,370.0,White,4.0,4.0,4662.0,1917.0,1857.0,2750.0,1880.0,6 Speed,7,Electric,Tubeless Radial,5,delhi,200.0
Petrol,Hatchback,9326,1,Hyundai,2022,Third Party,Manual,21.0,1197.0,114.0,Red,4.0,4.0,3995.0,1775.0,1505.0,2580.0,1105.0,5 Speed,5,Electric,Tubeless Radial,5,kolkata,81.0
Petrol,Hatchback,67000,1,Volkswagen,2010,Third Party,Manual,16.47,1198.0,110.0,Red,3.0,4.0,3970.0,1682.0,1453.0,2456.0,1020.0,5 Speed,5,Power,Tubeless Radial,5,bangalore,73.0
Petrol,Hatchback,35405,1,Volkswagen,2021,Third Party,Manual,18.24,999.0,175.0,White,3.0,4.0,3971.0,1682.0,1469.0,2470.0,1072.0,6 Speed,5,Electronic,Tubeless Radial,5,chennai,108.0
Petrol,Hatchback,39014,1,Toyota,2019,Third Party,Automatic,19.56,1197.0,113.0,Others,4.0,4.0,3995.0,1745.0,1510.0,2520.0,935.0,5 Speed,5,Electric,Radial,5,hyderabad,81.0
Diesel,MUV,150000,1,Toyota,2015,Third Party,Manual,12.99,2494.0,200.0,Others,4.0,4.0,4585.0,1765.0,1760.0,2750.0,1700.0,5 Speed,7,Power,Tubeless Radial,5,kolkata,100.0
Petrol,Minivans,44000,1,Maruti,2014,Third Party,Manual,15.37,1196.0,101.0,Grey,4.0,4.0,3675.0,1475.0,1800.0,2350.0,928.0,5 Speed,5,Manual,Tubeless,5,hyderabad,73.0
Petrol,Hatchback,174077,1,Maruti,2006,Third Party,Manual,19.7,796.0,62.0,Silver,3.0,4.0,3495.0,1475.0,1460.0,2360.0,705.0,5 Speed,5,Manual,Tubeless Radial,5,jaipur,46.0
Petrol,Hatchback,10000,1,Maruti,2018,Third Party,Manual,20.51,998.0,90.0,Others,3.0,4.0,3599.0,1495.0,1700.0,2400.0,890.0,5 Speed,5,Power,Tubeless,5,kolkata,67.0
Petrol,Hatchback,69408,3,Honda,2012,Comprehensive,Manual,19.4,1198.0,109.0,Red,4.0,4.0,3610.0,1680.0,1500.0,2345.0,925.0,5 Speed,5,Power,Tubeless Radial,5,hyderabad,86.0
Diesel,Sedan,60000,1,Maruti,2014,Third Party,Manual,23.4,1248.0,190.0,Gray,4.0,4.0,3995.0,1695.0,1555.0,2430.0,1060.0,5 Speed,5,Power,Tubeless Radial,4,delhi,74.0
Petrol,Hatchback,39368,1,Volkswagen,2011,Comprehensive,Manual,16.47,1198.0,110.0,Blue,3.0,4.0,3970.0,1682.0,1453.0,2456.0,1055.0,5 Speed,5,Power,Tubeless Radial,5,delhi,73.0
Petrol,Sedan,41000,1,Hyundai,2015,Comprehensive,Manual,17.01,1591.0,154.0,Silver,4.0,4.0,4375.0,1700.0,1475.0,2570.0,1290.0,5 Speed,5,Power,Tubeless,4,kolkata,121.0
Petrol,Hatchback,80000,1,Maruti,2015,Third Party,Automatic,23.1,998.0,90.0,Others,3.0,4.0,3715.0,1635.0,1565.0,2425.0,840.0,5 Speed,5,Power,Tubeless Radial,5,kolkata,67.0
Petrol,Hatchback,80000,4,Maruti,2010,Third Party,Manual,16.1,1197.0,113.0,Others,4.0,4.0,3760.0,1690.0,1530.0,2390.0,1010.0,5 Speed,5,Power,Tubeless Radial,5,kolkata,85.0
Petrol,Hatchback,87845,1,Hyundai,2010,Third Party,Manual,18.5,1197.0,11.0,Black,4.0,4.0,3940.0,1710.0,1505.0,2.0,1020.0,5 Speed,5,Power,Tubeless Radial,5,kolkata,80.0
Diesel,SUV,20000,1,Tata,2022,Third Party,Automatic,14.6,1956.0,350.0,Others,4.0,4.0,4598.0,1894.0,1706.0,2741.0,1700.0,6 Speed,5,Power,Tubeless Radial,5,bangalore,167.0
Diesel,SUV,34596,1,Tata,2021,Comprehensive,Automatic,14.08,1956.0,350.0,Silver,4.0,4.0,4661.0,1894.0,1786.0,2741.0,1825.0,6 Speed,6,Power,Tubeless Radial,5,chennai,167.0
Diesel,Hatchback,57206,2,Hyundai,2019,Comprehensive,Manual,22.54,1396.0,224.0,Red,4.0,4.0,3985.0,1734.0,1505.0,2570.0,1160.0,6 Speed,5,Power,Tubeless Radial,5,chennai,88.0
Diesel,SUV,55000,1,Mahindra,2021,Comprehensive,Manual,19.305221281860927,2179.0,319.0,White,4.0,4.0,4456.0,1820.0,1995.0,2680.0,1725.0,6 Speed,7,Power,Tubeless Radial,5,kolkata,136.0
Petrol,Hatchback,72544,1,Maruti,2017,Third Party,Manual,23.1,998.0,90.0,White,3.0,4.0,3715.0,1635.0,1565.0,2425.0,850.0,5 Speed,5,Power,Tubeless Radial,5,hyderabad,67.0
Diesel,Sedan,15000,1,BMW,2022,Comprehensive,Automatic,19.62,1995.0,400.0,White,4.0,4.0,4819.0,1827.0,1441.0,2961.0,1620.0,8-Speed Steptronic,5,Electrical,Tubeless Runflat,4,chennai,187.0
Petrol,Hatchback,63825,1,Toyota,2020,Zero Dep,Manual,22.35,1197.0,113.0,Red,4.0,4.0,3990.0,1745.0,1500.0,2520.0,920.0,5 Speed,5,Power,Tubeless Radial,5,bangalore,88.0
Petrol,Hatchback,49570,1,Maruti,2014,Comprehensive,Manual,22.38,1197.0,113.0,White,4.0,4.0,3845.0,1735.0,1530.0,2450.0,875.0,5 Speed,5,Electric,Tubeless Radial,5,bangalore,88.0
Petrol,Sedan,24000,1,Toyota,2021,Comprehensive,Automatic,19.16,2494.0,213.0,White,4.0,4.0,4850.0,1825.0,1480.0,2775.0,1635.0,6 Speed,5,Power,Tubeless Radial,4,chennai,157.0
Petrol,Sedan,108000,1,Hyundai,2008,Third Party,Manual,13.9,1599.0,14.0,Red,4.0,4.0,4310.0,1695.0,1490.0,2500.0,1152.0,5 Speed,5,Power,Tubeless Radial,4,hyderabad,103.0
Petrol,Hatchback,81575,1,Hyundai,2011,Comprehensive,Manual,20.36,1197.0,111.0,Silver,4.0,4.0,3585.0,1595.0,1550.0,2380.0,960.0,5 Speed,5,Power,Tubeless Radial,4,kolkata,78.0
Petrol,Hatchback,69455,1,Maruti,2017,Zero Dep,Manual,25.24,998.0,89.0,Others,3.0,4.0,3695.0,1655.0,1555.0,2435.0,810.0,5 Speed,5,Electric,Tubeless Radial,5,delhi,65.0
Petrol,Hatchback,9157,1,Hyundai,2021,Third Party,Manual,20.7,1197.0,113.0,Blue,4.0,4.0,3805.0,1680.0,1520.0,2450.0,1060.0,5 Speed,5,Electric,Tubeless Radial,5,kolkata,81.0
Petrol,Sedan,86245,2,Honda,2015,Third Party,Manual,18.0,1198.0,109.0,Silver,4.0,4.0,3990.0,1680.0,1505.0,2405.0,950.0,5 Speed,5,Power,Tubeless Radial,4,delhi,86.0
Diesel,SUV,50000,1,Mahindra,2021,Third Party,Automatic,19.305221281860927,2184.0,300.0,Others,4.0,4.0,3985.0,1855.0,1844.0,2450.0,1755.0,6 Speed,4,Power,Tubeless Radial,3,bangalore,130.0
Petrol,SUV,32091,1,Hyundai,2018,Third Party,Automatic,13.0,1591.0,151.0,White,4.0,4.0,4270.0,1780.0,1630.0,2590.0,1280.0,6 Speed,5,Power,Tubeless,5,chennai,121.0
Petrol,Hatchback,77501,3,Honda,2016,Comprehensive,Manual,18.7,1199.0,110.0,Brown,4.0,4.0,3955.0,1694.0,1544.0,2530.0,1044.0,5 Speed,5,Power,Tubeless Radial,5,bangalore,88.0
Petrol,SUV,20000,1,Mahindra,2021,Third Party,Automatic,19.305221281860927,1997.0,320.0,Others,4.0,4.0,3985.0,1855.0,1844.0,2450.0,1825.0,6 Speed,4,Power,Tubeless Radial,3,bangalore,150.0
Petrol,Hatchback,40000,1,Maruti,2020,Third Party,Manual,22.05,796.0,69.0,Others,3.0,4.0,3445.0,1515.0,1475.0,2360.0,762.0,5 Speed,5,Power,Tubeless,5,jaipur,47.0
Petrol,Hatchback,6398,1,Maruti,2022,Comprehensive,Manual,25.24,998.0,89.0,Red,3.0,4.0,3695.0,1655.0,1555.0,2435.0,810.0,5 Speed,5,Electric,Tubeless Radial,5,kolkata,65.0
Petrol,Sedan,60000,1,Maruti,2010,Third Party,Manual,17.5,1298.0,114.0,Blue,4.0,4.0,4160.0,1690.0,1530.0,2390.0,1025.0,5 Speed,5,Power,Tubeless Radial,4,kolkata,85.0
Petrol,Sedan,10000,1,Maruti,2021,Third Party,Manual,20.65,1462.0,138.0,Others,4.0,4.0,4490.0,1730.0,1485.0,2650.0,1105.0,5 Speed,5,Power,Tubeless Radial,4,hyderabad,103.0
Diesel,Hatchback,120000,2,Maruti,2013,Third Party,Manual,23.2,1248.0,190.0,Others,4.0,4.0,3775.0,1680.0,1620.0,2360.0,1110.0,5 Speed,5,Power,Tubeless Radial,5,jaipur,73.0
Diesel,SUV,60000,1,Tata,2020,Third Party,Manual,16.35,1956.0,350.0,Others,4.0,4.0,4598.0,1894.0,1706.0,2741.0,1660.0,6 Speed,5,Power,Tubeless Radial,5,jaipur,167.0
Petrol,SUV,40000,1,Hyundai,2020,Third Party,Automatic,16.8,1353.0,242.0,Others,4.0,4.0,4300.0,1790.0,1635.0,2610.0,1475.0,7-speed DCT,5,Power,Tubeless Radial,5,chennai,138.0
Diesel,SUV,52743,1,Maruti,2018,Comprehensive,Manual,24.3,1248.0,200.0,White,4.0,4.0,3995.0,1790.0,1640.0,2500.0,1180.0,5 Speed,5,Power,Tubeless Radial,5,chennai,88.0
Petrol,Hatchback,28036,1,Maruti,2017,Comprehensive,Manual,24.7,796.0,69.0,White,3.0,4.0,3430.0,1515.0,1475.0,2360.0,725.0,5 Speed,5,Power,Tubeless,5,kolkata,47.0
Petrol,Hatchback,69864,1,Maruti,2017,Third Party,Manual,21.4,1197.0,115.0,Silver,4.0,4.0,3995.0,1745.0,1510.0,2520.0,880.0,5 Speed,5,Power,Tubeless Radial,5,chennai,83.0
Petrol,Hatchback,69000,2,Hyundai,2010,Comprehensive,Manual,20.36,1197.0,111.0,Red,4.0,4.0,3585.0,1595.0,1550.0,2380.0,960.0,5 Speed,5,Power,Tubeless Radial,4,bangalore,78.0
Petrol,Sedan,5378,1,Honda,2021,Zero Dep,Automatic,18.3,1498.0,145.0,Red,4.0,4.0,4549.0,1748.0,1489.0,2600.0,1107.0,CVT,5,Electric,Tubeless Radial,4,delhi,119.0
Petrol,SUV,20225,1,MG,2021,Third Party,Automatic,19.305221281860927,1451.0,250.0,Starry Black,4.0,4.0,4720.0,1835.0,1760.0,2750.0,1820.0,6-speed CVT,6,Power,Tubeless Radial,5,hyderabad,141.0
Diesel,Sedan,70500,2,Mercedes-Benz,2015,Third Party,Automatic,17.9,2143.0,300.0,Cirrus White,4.0,4.0,4630.0,1777.0,1432.0,2699.0,1570.0,7 Speed,5,Power,Tubeless Radial,4,hyderabad,134.0
Petrol,Sedan,22127,1,Honda,2021,Comprehensive,Automatic,18.3,1199.0,110.0,MODERN STEEL METALLIC,4.0,4.0,3995.0,1695.0,1501.0,2470.0,945.0,CVT,5,Electric,Tubeless Radial,4,hyderabad,88.0
Petrol,SUV,77380,1,Ford,2018,Comprehensive,Automatic,14.8,1497.0,150.0,Silver,3.0,4.0,3998.0,1765.0,1647.0,2519.0,1320.0,6 Speed,5,Power,Tubeless Radial,4,chennai,121.0
Petrol,Hatchback,19717,1,Maruti,2018,Third Party,Manual,25.24,998.0,89.0,Silver,3.0,4.0,3695.0,1655.0,1555.0,2435.0,810.0,5 Speed,5,Electric,Tubeless Radial,5,delhi,65.0
Petrol,Hatchback,38000,1,Hyundai,2012,Comprehensive,Manual,18.6,1197.0,114.0,Grey,4.0,4.0,3985.0,1734.0,1505.0,2570.0,1066.0,5 Speed,5,Power,Tubeless,5,kolkata,81.0
Petrol,Hatchback,55000,1,Hyundai,2016,Third Party,Manual,19.81,1086.0,99.0,Red,4.0,3.0,3585.0,1595.0,1550.0,2380.0,860.0,5 Speed,5,Power,Tubeless,5,hyderabad,68.0
Petrol,Hatchback,40000,1,Volkswagen,2017,Comprehensive,Manual,16.2,1199.0,110.0,Blue,3.0,4.0,3971.0,1682.0,1469.0,2469.0,1044.0,5 Speed,5,Power,Tubeless Radial,5,delhi,74.0
Petrol,Sedan,60000,1,Skoda,2018,Third Party,Manual,15.41,1598.0,153.0,Others,4.0,4.0,4413.0,1699.0,1466.0,2552.0,1111.0,5 Speed,5,Power,Tubeless Radial,4,hyderabad,103.0
Petrol,Hatchback,39201,1,Maruti,2016,Third Party,Manual,21.4,1197.0,115.0,Ray blue,4.0,4.0,3995.0,1745.0,1510.0,2520.0,890.0,5 Speed,5,Power,Tubeless Radial,5,jaipur,83.0
Diesel,SUV,80000,1,Mahindra,2017,Third Party,Manual,18.49,1493.0,240.0,Others,3.0,2.0,3995.0,1835.0,1826.0,2680.0,1650.0,5 Speed,7,Power,Tubeless Radial,5,chennai,100.0
Petrol,Hatchback,40000,1,Tata,2020,Third Party,Manual,19.33,1199.0,113.0,Others,3.0,4.0,3990.0,1755.0,1523.0,2501.0,1135.0,5 Speed,5,Electric,Tubeless Radial,5,jaipur,86.0
Diesel,Sedan,68045,1,Hyundai,2018,Third Party,Automatic,22.0,1582.0,259.0,Silver,4.0,4.0,4440.0,1729.0,1475.0,2600.0,1285.0,6 Speed,5,Power,Tubeless,4,delhi,126.0
Petrol,Hatchback,60000,2,Hyundai,2010,Third Party,Manual,18.5,1197.0,11.0,Others,4.0,4.0,3940.0,1710.0,1505.0,2.0,1020.0,5 Speed,5,Power,Tubeless Radial,5,kolkata,80.0
Petrol,Sedan,55000,1,Mercedes-Benz,2015,Comprehensive,Automatic,7.81,4663.0,700.0,White,8.0,4.0,5246.0,2130.0,1494.0,3165.0,2200.0,7 Speed,5,Power,Tubeless Radial,4,delhi,453.0
Petrol,MUV,55000,1,Maruti,2021,Third Party,Manual,19.01,1462.0,138.0,White,4.0,4.0,4445.0,1775.0,1700.0,2740.0,1180.0,5 Speed,6,Power,Tubeless Radial,5,delhi,103.0
Petrol,Hatchback,70145,1,Maruti,2014,Comprehensive,Manual,22.05,796.0,69.0,Silver,3.0,4.0,3445.0,1515.0,1475.0,2360.0,755.0,5 Speed,5,Power,Tubeless,5,hyderabad,47.0
Diesel,SUV,93000,1,Audi,2017,Third Party,Manual,17.32,1968.0,320.0,White,4.0,4.0,4388.0,2019.0,1608.0,2603.0,1520.0,6 Speed,5,Power,Tubeless Radial,5,hyderabad,138.0
Petrol,MUV,30000,1,Datsun,2017,Third Party,Manual,19.44,1198.0,104.0,Others,3.0,4.0,3995.0,1635.0,1490.0,2450.0,1070.0,5 Speed,7,Power,Tubeless,5,chennai,67.0
Petrol,Hatchback,90000,1,Hyundai,2012,Third Party,Manual,17.0,1197.0,11.0,Others,4.0,4.0,3940.0,1710.0,1505.0,2.0,1020.0,5 Speed,5,Power,Tubeless Radial,5,jaipur,80.0
Petrol,SUV,10000,1,Jeep,2022,Third Party,Automatic,14.1,1368.0,250.0,Gray,4.0,4.0,4405.0,1818.0,1640.0,2636.0,1580.0,7 Speed DCT,5,Power,Tubeless Radial,5,kolkata,160.0
Petrol,SUV,10000,1,Maruti,2021,Third Party,Manual,18.55,1462.0,138.0,Others,4.0,4.0,4300.0,1785.0,1595.0,2600.0,1130.0,5 Speed,5,Power,Tubeless Radial,5,kolkata,103.0
Petrol,SUV,20000,1,Volkswagen,2022,Third Party,Automatic,12.65,1984.0,320.0,Black,4.0,4.0,4509.0,1839.0,1665.0,2679.0,1703.0,7 Speed DCT,5,Electric,Tubeless Radial,5,bangalore,187.0
Diesel,Sedan,49000,1,Jaguar,2014,Third Party,Automatic,14.74,2993.0,600.0,Blue,6.0,4.0,4961.0,1877.0,1460.0,2909.0,1780.0,8 Speed,5,Power,Tubeless Radial,4,hyderabad,270.0
