ft,bt,km,ownerNo,oem,modelYear,Insurance Validity,Transmission,Mileage,Engine,Torque,Color,No of Cylinder,Values per Cylinder,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Seating Capacity,Steering Type,Tyre Type,No Door Numbers,city,Max Power
Petrol,Hatchback,6651,1,Datsun,2021,Third Party,Manual,21.7,999.0,91.0,Others,3.0,4.0,3435.0,1574.0,1546.0,2348.0,750.0,5 Speed,5,Power,Tubeless,5,kolkata,67.0
Petrol,Sedan,12000,1,Skoda,2022,Comprehensive,Automatic,15.1,1984.0,320.0,White,4.0,4.0,4869.0,1864.0,1469.0,2841.0,1579.0,7-Speed DSG,5,Power,Tubeless Radial,5,delhi,187.0
Diesel,SUV,60000,1,Ford,2017,Comprehensive,Automatic,10.91,3198.0,470.0,Grey,4.0,4.0,4892.0,1860.0,1837.0,2850.0,1879.0,6 Speed,7,Power,Tubeless Radial,5,delhi,197.0
Petrol,Sedan,18157,1,BMW,2020,Zero Dep,Automatic,15.56,1998.0,350.0,Blue,4.0,4.0,4936.0,2126.0,1466.0,2975.0,1675.0,8-Speed Steptronic,5,Power,Tubeless Runflat,4,bangalore,248.0
Diesel,Hatchback,72000,1,Hyundai,2018,Third Party,Manual,22.54,1396.0,219.0,Blue,4.0,4.0,3985.0,1734.0,1505.0,2570.0,1515.0,6 Speed,5,Power,Tubeless,5,hyderabad,88.0
Diesel,SUV,70000,1,Mahindra,2017,Third Party,Manual,18.49,1493.0,240.0,Others,3.0,2.0,3995.0,1835.0,1826.0,2680.0,1650.0,5 Speed,7,Power,Tubeless Radial,5,delhi,100.0
Cng,MUV,40000,1,Maruti,2021,Third Party,Manual,36.2512,1462.0,122.0,Others,4.0,4.0,4395.0,1735.0,1690.0,2740.0,1235.0,5 Speed,7,Power,Tubeless Radial,5,delhi,91.0
Petrol,Hatchback,34000,1,Maruti,2018,Third Party,Manual,24.7,796.0,69.0,Grey,3.0,4.0,3430.0,1490.0,1475.0,2360.0,720.0,5 Speed,5,Power,Tubeless,5,hyderabad,47.0
Petrol,Hatchback,13345,1,Maruti,2020,Comprehensive,Automatic,20.89,1197.0,113.0,White,4.0,4.0,3700.0,1690.0,1595.0,2435.0,855.0,5 Speed,5,Electrical,Tubeless Radial,5,bangalore,81.0
Petrol,Hatchback,80000,1,Volkswagen,2017,Third Party,Automatic,17.21,1197.0,175.0,Others,4.0,4.0,3971.0,1682.0,1469.0,2469.0,1109.0,7 Speed,5,Power,Tubeless Radial,5,hyderabad,103.0
Petrol,Sedan,38247,1,Hyundai,2016,Comprehensive,Manual,17.01,1591.0,154.0,Red,4.0,4.0,4375.0,1700.0,1475.0,2570.0,1250.0,5 Speed,5,Power,Tubeless,4,kolkata,121.0
Petrol,Sedan,41659,1,Hyundai,2016,Third Party,Manual,17.01,1591.0,154.0,Silver,4.0,4.0,4375.0,1700.0,1475.0,2570.0,1290.0,5 Speed,5,Power,Tubeless,4,chennai,121.0
Diesel,Sedan,7900,1,Mercedes-Benz,2021,Comprehensive,Automatic,13.5,2925.0,600.0,Black,6.0,4.0,5255.0,1718.2144581221337,1494.0,3165.0,2045.0,9 Speed,5,Power,Tubeless Radial,4,delhi,281.0
Petrol,Hatchback,56410,1,Maruti,2018,Comprehensive,Automatic,22.56,1197.0,113.0,Silver,4.0,4.0,3845.0,1735.0,1530.0,2450.0,875.0,5 Speed,5,Electric,Tubeless Radial,5,bangalore,88.0
Petrol,Hatchback,83124,2,Honda,2012,Comprehensive,Manual,19.4,1198.0,109.0,Silver,4.0,4.0,3610.0,1680.0,1500.0,2345.0,915.0,5 Speed,5,Power,Tubeless Radial,5,kolkata,86.0
Petrol,Hatchback,79068,1,Maruti,2014,Comprehensive,Manual,22.38,1197.0,113.0,Red,4.0,4.0,3845.0,1735.0,1530.0,2450.0,875.0,5 Speed,5,Electric,Tubeless Radial,5,bangalore,88.0
Diesel,SUV,51000,1,Mahindra,2018,Comprehensive,Manual,16.0,2179.0,330.0,Orange,4.0,4.0,4585.0,1890.0,1785.0,2700.0,1785.0,6 Speed,7,Power,Tubeless,5,kolkata,140.0
Diesel,SUV,38100,1,Volvo,2018,Comprehensive,Automatic,18.0,1969.0,400.0,Red,4.0,4.0,4425.0,2034.0,1652.0,2702.0,1755.0,8 Speed,5,Power,Tubeless Radial,5,bangalore,190.0
Diesel,Sedan,120000,2,Volvo,2013,Third Party,Automatic,9.0,1984.0,400.0,Others,4.0,4.0,4635.0,2097.0,1484.0,2776.0,1652.0,8 Speed,5,Power,Tubeless Radial,4,hyderabad,181.0
Petrol,Hatchback,77611,2,Maruti,2016,Comprehensive,Manual,21.4,1197.0,115.0,Blue,4.0,4.0,3995.0,1745.0,1510.0,2520.0,870.0,5 Speed,5,Power,Tubeless Radial,5,delhi,83.0
Petrol,Sedan,90000,2,Skoda,2012,Third Party,Manual,13.7,1798.0,250.0,Others,4.0,4.0,4833.0,1817.0,1482.0,2761.0,1598.0,7 Speed,5,Power,Tubeless Radial,4,bangalore,157.0
Diesel,Sedan,110000,2,Tata,2013,Third Party,Manual,25.0,1396.0,140.0,Others,4.0,4.0,3988.0,1620.0,1540.0,2450.0,1105.0,5 Speed,5,Power,Tubeless Radial,4,chennai,69.0
Diesel,Sedan,66000,1,Maruti,2018,Comprehensive,Manual,26.82,1498.0,225.0,Blue,4.0,4.0,4490.0,1730.0,1485.0,2650.0,1065.0,5 Speed,5,Power,Tubeless Radial,4,hyderabad,93.0
Petrol,Hatchback,787,1,Renault,2022,Comprehensive,Automatic,22.3,999.0,91.0,Green,3.0,4.0,3731.0,1579.0,1474.0,2518.403850840848,699.0,5 Speed,5,Electric,Tubeless Radial,5,kolkata,67.0
Diesel,MUV,53000,1,Toyota,2017,Comprehensive,Manual,13.68,2393.0,343.0,Silver,4.0,4.0,4735.0,1830.0,1795.0,2750.0,1920.0,5 Speed,7,Power,Tubeless Radial,5,kolkata,147.0
Petrol,Hatchback,16115,1,Tata,2021,Comprehensive,Manual,19.01,1199.0,113.0,Others,3.0,4.0,3765.0,1677.0,1535.0,2400.0,982.0,5 Speed,5,Electric,Tubeless Radial,5,hyderabad,84.0
Diesel,Hatchback,100000,3,Tata,2017,Third Party,Manual,25.0,1396.0,140.0,Silver,4.0,4.0,3690.0,1665.0,1485.0,2400.0,1080.0,5 Speed,5,Power,Tubeless Radial,5,bangalore,69.0
Petrol,Hatchback,61764,1,Maruti,2017,Third Party,Automatic,21.4,1197.0,115.0,Grey,4.0,4.0,3995.0,1745.0,1510.0,2520.0,920.0,CVT,5,Power,Tubeless Radial,5,chennai,83.0
Diesel,SUV,3800,1,Kia,2020,Third Party,Manual,20.8,1493.0,250.0,Grey,4.0,4.0,4315.0,1800.0,1645.0,2610.0,1465.0,6 Speed,5,Electric,Tubeless Radial,5,delhi,113.0
Petrol,Hatchback,72368,2,Maruti,2016,Comprehensive,Manual,21.4,1197.0,115.0,Orange,4.0,4.0,3995.0,1745.0,1510.0,2520.0,870.0,5 Speed,5,Power,Tubeless Radial,5,delhi,83.0
